Date,Startup,Industry,Locations,Investors,Type,Turnover
2018-12-06,Buildsupply,Saas,Gurgaon,"Venture Highway, Gree Ventures, Space Matrix, Individual Investors",Series A,35
2018-11-01,Godesi,Food Beverages,Bangalore,Lead Angels Network,"Angel, Seed",1
2018-11-03,Veritas Finance,Nbfc,Chennai,"Norwest Venture Partners, Cdc Group, The Uks Development Finance Institution And P Surendra Pai",Series D,278
2018-11-06,Meesho,Ecommerce,Bangalore,"Shunwei Capital, Dst Partners And Rps Ventures",Series C,500
2018-11-08,Mobile Premier League,Gaming,Bangalore,Undisclosed,Series A,5
2018-11-08,Ar Bon Vivants,Food,Jaipur,"Rb Investments, Singapore",Equity,10
2018-11-12,Blackbuck,Food Tech,"New-York, Bangalore",Tiger Global,Series A,10
2018-11-12,Milkbasket,Food,New-Delhi,Mayfield Fund,Series B,13
2018-11-13,Driveu,Transport,Bangalore,Stevens Creek Ventures,Mezzanine,10
2018-11-14,Cleansecar,Services,Bangalore,Venture Catalysts,"Angel, Seed",5
2018-11-19,Automation Anywhere,Automation,California,Softbank Vision Fund,Series B,3000
2018-11-20,Healthifyme,Health Care,Bangalore,"Sistema Asia Fund, Vc Samsung Next, Chiratae Ventures, Inventus Capital, Blume Ventures And Innoven Capital",Series B,60
2018-11-21,Genius Corner,Education,Noida,Individual Investors,Seed,3
2018-11-22,Aavishkaar-Intellecap Group,Investment,Mumbai,Teachers Insurance And Annuity Association Tiaa,Equity,310
2018-11-22,Skillbox,Social Media,Gurgaon,Individual Investors,Seed,0
2018-11-23,Signzy,Fintech,"Mumbai, Bangalore","Stellaris Venture Partners And Kalaari Capital, Rajan Anandan From Google, Dilip Khandwelwal From Sap Labs India, And Amrish Rau From Payu India",Series A,34
2018-11-24,Engineerai,Software,"India, Us","Lakestar And Jungle Ventures, Softbanks Deepcore",Series A,295
2018-11-25,Incred Finance,Finance,India,"Paragon Partners, Individual Investors",Private,420
2018-11-25,Roposo,Social Media,Delhi,Bertelsmann India Investments,Series B,17
2018-10-02,Origo Commodities India Pvt Ltd,Logistics,Hyderabad,"Cooperative Oikocredit, Caspian And Hivos-Triodos Fund","Angel, Seed",110
2018-10-04,Grover Zampa,Food,Mumbai,Ravi Viswanathan,Private,82
2018-10-05,Droom,Automobile,Gurgaon,Zigexn,Series E,30
2018-10-11,Innov8,Real Estate,New-Delhi,Credence Family Office,Series A,40
2018-10-12,Blackbuck,Logistics,Bangalore,Sequoia Capital India,Private,147
2018-10-12,Letstransport,Logistics,Bangalore,Fosun International,Series C,120
2018-09-01,Netmeds,Consumer Internet,Chennai,"Sistema Asia Fund, Sistema Jsfc And Tanncam Investment",Private,350
2018-09-03,Udaan,B2B Platform,Bangalore,Dst Global And Lightspeed Venture Partners Global Fund,Private,2250
2018-09-03,Daily Hunt,Consumer Internet,Bangalore,Falcon Edge,Private,64
2018-09-05,Nykaa,Consumer Internet,Mumbai,Lighthouse,Private,1572
2018-09-06,Dream11,Consumer Internet,Mumbai,"Tencent, Kalaari Capital And Private Equity Firm Multiples Alternate Asset Management",Private,1000
2018-09-10,Mamaearth,Health Care,Gurgaon,Stellaris Ventures  Others,Private,40
2018-09-11,Autogrid,Tech,Bangalore,"Clp Holdings Group, Innogy, Xc3X98Rstead, And Tenaska",Private,320
2018-09-11,Pharmeasy,Consumer Internet,Mumbai,Innoven Capital,Debt,55
2018-09-11,Upwards,Fintech,Mumbai,"Shunwei Capital,Quotient, Mayfield  Others",Private,50
2018-09-12,Kissht,Fintech,Mumbai,"Vertex Ventures Southeast Asia Sea And India And Sistema Asia Fund, Fosun Rz Capital, Ventureast, And Endiya Partnersnn",Private,300
2018-08-01,Dishq,Food Tech,Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth And Artesian Venture Partners","Angel, Seed",4
2018-08-02,Samosa Labs,Consumer Internet,Hyderabad,Xiaomi And Sequoia Capital India,Private,70
2018-08-03,Ziffyhomes,Consumer Internet,Gurgaon,Y Combinator,Private,1
2018-08-07,Shopx,Consumer Internet,Bangalore,Fung Strategic Holdings,Private,350
2018-08-07,Makemytrip,Consumer Internet,Gurgaon,Makemytrip Limited,Private,100
2018-08-08,Hanselio,Consumer Internet,Bangalore,Vertex Ventures,"Angel, Seed",40
2018-08-08,Metro Bikes,Consumer Internet,Bangalore,"Sequoia Capital India Advisors, Accel Partners And G Raghunandan",Private,122
2018-08-08,Phonepe,Consumer Internet,Bangalore,Flipkart,Private,660
2018-08-09,Quizizz,Edtech,Bangalore,"Nexus Venture Partners, Prime Venture Partners And Others","Angel, Seed",30
2018-08-09,Happy Emi,Fintech,Bangalore,Aj Ventures And Jain International Trade Organisation Jito,"Angel, Seed",10
2018-08-13,Inthree,Consumer Internet,Chennai,"Ventureast, Orios Venture Partners And The Ian Fund","Angel, Seed",40
2018-08-13,Observe Ai,Tech,Bangalore,"Nexus Venture Partners, Mgv, Liquid 2 Ventures, Hack Vc, Emergent Ventures And Y Combinator",Private,80
2018-08-17,Eazydiner,Consumer Internet,Gurgaon,Denlow Investment Trust And Beenext,Private,58
2018-08-20,Raw Pressery,Consumer Internet,Mumbai,Alteria Capital,Debt,48
2018-08-22,Pi Ventures,Tech,Bangalore,Cdc Group Plcxc2Xa0,Private,60
2018-08-22,Revv,Consumer Internet,Gurgaon,"Hyundai, Edelweiss And Beenext, Dream Incubator, Sunjay Kapoor And Telama Investment",Private,143
2018-08-26,Zest Money,Consumer Internet,Bangalore,"Xiaomi,Payu, Ribbit Capital And Omidyar Network",Private,134
2018-08-26,Shubh Loans,Fintech,Bangalore,"Saama Capital, Sri Capital, Beenext, And Pravega Ventures",Private,42
2018-08-27,Myupchar,Health Care,Delhi,"Nexus Venture Partners, Omidyar Network And Shunwei Capital",Private,50
2018-08-28,Narvar,It,Bangalore,Accel Formerly Known As Accel Partners,Private,30
2018-07-02,Biryani By Kilo,Consumer Internet,Gurgaon,Ajay Relan And Vinay Mittal,"Angel, Seed",10
2018-07-04,Anchanto,It,Pune,Mdi Ventures  Telkom Indonesia,Private,40
2018-07-05,Loan Tap,Consumer Internet,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, Vc Firms India Quotient And Kae Capital",Private,62
2018-07-06,Policybazaar,Consumer Internet,Gurgaon,Info Edge India Ltd And Temasek,Private,277
2018-07-09,Zippserve,Consumer Internet,Bangalore,Info Edge India Ltd,"Angel, Seed",4
2018-07-09,Groww,Consumer Internet,Bangalore,"Insignia Ventures Partners, Lightbridge Partners  Kairos","Angel, Seed",11
2018-07-10,Avenue Growth,Consumer Internet,Gurgaon,"Avtar Monga, Chief Operating Office At Idfc Bank, Aditya Malik  Others","Angel, Seed",4
2018-07-10,Kinara Capital,Finance,Bangalore,Responsability,Private,50
2018-07-10,Shop 101,Consumer Internet,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, And Ramakant Sharma",Private,50
2018-07-11,Sambandh,Consumer Internet,Rourkela,Base Of Pyramid Asia Bopa Pte Ltd,Private,25
2018-07-12,19Th Mile,It,Gurgaon,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta And Others","Angel, Seed",2
2018-07-12,5Th Vital,Health Care,Bangalore,Brand Capital And Others,"Angel, Seed",5
2018-07-13,Mengage,Health Care,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-Founders Lab And Others","Angel, Seed",2
2018-07-17,Ofbusiness,Finance,Gurgaon,"Creation Investments, Falcon Edge, Matrix Partners India And Zodius Capital",Private,290
2018-07-17,Cars24,Consumer Internet,Gurgaon,"Kingsway Fci Fund, Kck Global  Others",Private,497
2018-07-18,The Ken,Consumer Internet,Bangalore,Omidyar Network  Others,"Angel, Seed",15
2018-07-19,Book My Show,Consumer Internet,Mumbai,"Tpg Growth, The Rise Fund  Others",Private,1000
2018-07-21,Paysense,Consumer Internet,Mumbai,Payu  Others,Private,180
2018-07-23,Vtion,Tech,Gurgaon,"Angellist, Rahul Khanna, Rajeev Arora And Ram Ramsundar","Angel, Seed",3
2018-07-23,Log9 Materials,Tech,Bangalore,"Metaform Ventures, Hemant Luthra, Micro Venture Capital Firm Gems Partners And Others","Angel, Seed",4
2018-07-24,Kidovators,Edtech,Bangalore,Gray Matters,"Angel, Seed",2
2018-07-24,Digit,Consumer Internet,Pune,Fairfax,Private,450
2018-07-25,Black Soil,Finance,Mumbai,"Allcargo Logistics, Navneet Education And Mahavir Agency",Private,170
2018-07-25,Trell,Consumer Internet,Bangalore,"Beenext , Weh Ventures And Sprout Ventures","Angel, Seed",12
2018-07-25,Iqlect,Tech,Bangalore,Ventureast And Exfinity,"Angel, Seed",25
2018-07-26,Entropik,It,Bangalore,"Bharat Innovation, Idfc-Parampara Capital, Arthavida Ventures, Jitendra Gupta  Others","Angel, Seed",11
2018-07-26,Thecapitalnet,Fintech,Hyderabad,Lindwall Family Investments Llc Lfi,Private,5
2018-07-30,Shuttl,Consumer Internet,Gurgaon,Amazon Alexa Fund  Dentsu Ventures,Private,110
2018-07-30,Cure Fit,Consumer Internet,Bangalore,"Idg Ventures, Accel Partners, Kalaari Capital And Others",Private,1200
2018-07-31,Five Star Group,Fintech,Chennai,"Tpg, Norwest Venture Partners, Sequoia Capital  Matrix Partners",Private,1000
2018-07-31,Healthsignz,Health Care,Hyderabad,Kantilal Patel,"Angel, Seed",50
2018-06-01,Cointribe,Finance,Gurgaon,"Sabre Partners, Puneet Dalmia  Others",Private,100
2018-06-04,Digiconectt,Tech,Bangalore,Aspire Logistics Llc,"Angel, Seed",1
2018-06-07,Annapurna Finance,Finance,Bhubaneswar,Oman India Joint Investment Fund Oijif,Private,230
2018-06-07,Meesho,Consumer Internet,Bangalore,"Sequoia Capital India, Saif Partners, Y Combinator And Venture Highway",Private,115
2018-06-10,Aye Finance,Finance,Gurgaon,"Capitalg, Saif Partners And Lgt Impact Ventures",Private,215
2018-06-12,Alpha Capital,Finance,Mumbai,Alpha Capital,Private,148
2018-06-12,Eshakti,Ecommerce,Chennai,Paragon Partners,Private,101
2018-06-12,Daily Ninja,Consumer Internet,Bangalore,Saama Capital And Sequoia Capital,"Angel, Seed",30
2018-06-13,Nirogstreet,Health Care,Gurgaon,"Spiral Ventures, Subho Ray And Samir Kumar","Angel, Seed",3
2018-06-13,Nivesh,Finance,Noida,"Letsventure, Rajan Anandan, Basab Pradhan, Vivek Khare And Bijoy George","Angel, Seed",4
2018-06-14,Homelane,Consumer Internet,Bangalore,Brand Capital,"Angel, Seed",34
2018-06-14,Network Intelligence,Tech,Mumbai,Helix Investments,Private,48
2018-06-18,Tynor Othontics,Health Care,Chandigarh,Lighthouse Funds  Thuasne Participations,Private,210
2018-06-18,Elucidata,It,"Delhi, Cambridge",Hyperplane Venture Capital And Several Angel Investors,"Angel, Seed",17
2018-06-19,Rentsher,Consumer Internet,Bangalore,"Shorooq Investments, Letsventure  Others","Angel, Seed",11
2018-06-20,Drip Capital,Finance,Mumbai,"Accel Partners, Sequoia India, Y Combinator And Others",Private,150
2018-06-22,Wickedride,Consumer Internet,Bangalore,"Sequoia Capital, Accel Partners  Raghunandan Gangappa",Private,91
2018-06-25,Policybazaar,Consumer Internet,Gurgaon,Softbank Vision Fund  Info Edge India Ltd,Private,2000
2018-06-25,Hipbar,Consumer Internet,Bangalore,Diageo India,Private,40
2018-06-25,Sqqrl,Finance,Gurgaon,Equanimity Venture Fund,"Angel, Seed",10
2018-06-26,Paytm,Tech,Noida,One 97 Communications,Private,90
2018-06-26,Sigtuple,Health Care,Bangalore,"Accel Partners, Idg Venture, Endiya Partners, Pi Ventures, Vh Capital, Axilor Ventures And Binny Bansal",Private,190
2018-06-27,Wow Express,Tech,Mumbai,Undisclosed Existing Investors As Well As The Tamarind Family Trust,Private,45
2018-06-28,Front Desk Ai,Tech,Bangalore,Speciale Invest  Others,"Angel, Seed",11
2018-06-28,Edureka,Edtech,Bangalore,Leo Capital,"Angel, Seed",20
2018-05-02,Opentap,Finance,Chennai,Unknown High Net-Worth Individuals,"Angel, Seed",4
2018-05-02,Bizongo,Consumer Internet,Mumbai,"B Capital, International Finance Corporation Ifc, Accel Partners And Idg Ventures",Private,220
2018-05-03,Disprz,It,Chennai,"Ilfs Private Equity, Kae Capital  Others","Angel, Seed",25
2018-05-09,I3Sysytems,Tech,Mumbai,"Unitus Ventures, Behram Vakil And Jerxis Vandrevala","Angel, Seed",10
2018-05-11,Earth Food,Consumer Internet,Pune,Rairah Corporation,"Angel, Seed",9
2018-05-14,Nykaa,Consumer Internet,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak And Others",Private,240
2018-05-16,Mfine,Health Care,Bangalore,"Prime Venture Partners, Stellaris Venture Partners And Mayur Abhaya Srisrimal",Private,42
2018-05-21,Rocketium,Tech,Bangalore,Blume Ventures,"Angel, Seed",3
2018-05-21,Milkbasket,Tech,Gurgaon,"Kalaari Capital, Unilever Ventures And Blume Ventures",Private,70
2018-05-22,Vola,Finance,Bangalore,Credika And Unnamed Angel Investors,"Angel, Seed",5
2018-05-22,Cashkumar,Consumer Internet,Bangalore,Letsventure,"Angel, Seed",7
2018-05-23,Edyoo,Ecommerce,Bangalore,Rs Shanbag,"Angel, Seed",7
2018-05-23,Aashiyaan,Finance,Kolkata,"Insistor, Oikocredit","Angel, Seed",20
2018-05-24,Smartivity,Edtech,Delhi,"Ashish Kacholi, S Chand Group","Angel, Seed",20
2018-05-24,Bonphulapl,Clean-Tech,Delhi,Atul Gupta And Saurabh Rastogi,"Angel, Seed",3
2018-05-27,Acko,Consumer Internet,Mumbai,"Amazon, Ashish Dhawan, Catamaran Ventures, Nr Narayana Murthy","Angel, Seed",120
2018-05-28,Hwell24,Health Care,Mumbai,"Prashant Mehta, Mitali Pawar, Nikhil G And Bhavesh P, R Ranganathan, Oncotrust And Medintel Services Pvt Ltd","Angel, Seed",2
2018-05-29,Toffee,Consumer Internet,Gurgaon,"Kalaari Capital, Omidyar Network And Accion Venture Labs","Angel, Seed",15
2018-05-29,Tonetag,Tech,Bangalore,Amazon Inc And Mastercard,Private,80
2018-05-30,Stellaps,Tech,Bangalore,"Indusage Partners, Bill  Melinda Gates Foundation, Qualcomm Venture, Abb Technology Ventures, Omnivore, Blume Ventures, Venture Highway And Beenext",Private,140
2018-05-31,Credright,Consumer Internet,Hyderabad,"Accion Venture Lab, Yournest Venture Capital And Other Angel Investors","Angel, Seed",13
2018-04-02,Fitternity,Consumer Internet,Mumbai,"Exfinity Venture, Saha Fund Partners, Arihant Patni Of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna And Taparia Family Office",Private,20
2018-04-02,Synctag,Tech,Coimbatore,Subhkam Ventures And Mohit Khadaria,"Angel, Seed",3
2018-04-04,Varthana,Finance,Bangalore,"Chryscapital, Existing Investors, Elevar Equity, Lgt Impact, Omidyar Network And Kaizen Private Equity Also Participated In The Round",Private,550
2018-04-05,Indigolearn,Edtech,Hyderabad,"Maheshwar Peri, Founder And Chairman Of Career Information Portal Careers360, And Jamshed Jeejeebhoy, Director At Byramjee Jeejeebhoy Pvt Ltd Were Among The Angels","Angel, Seed",2
2018-04-05,Vedantu,Edtech,Bangalore,"Accel Partners, Tiger Global And Others",Private,100
2018-04-09,Kaleidofin,Finance,Chennai,Omidyar Network Blume Ventures And Professor Shlomo Ben-Haim,"Angel, Seed",28
2018-04-09,Pipabella,Consumer Internet,Mumbai,Fireside Ventures,"Angel, Seed",10
2018-04-10,Travel Triangle,Consumer Internet,Gurgaon,"Fundamentum, Saif Partners, Bessemer Venture Partners, Rb Investments  Others",Private,120
2018-04-12,Letsmd,Health Care,Delhi,"Sri Capital, Waterbridge Ventures And Thinkuvate","Angel, Seed",10
2018-04-12,Aye Finance,Finance,Gurgaon,"Blueorchard Finance Ltd, Hinduja Leyland Finance And Intellegrow",Debt,46
2018-04-13,Mintifi,Finance,Mumbai,Lok Capital,"Angel, Seed",20
2018-04-16,Icanstay,Consumer Internet,Delhi,Mr Manoj Prasad,"Angel, Seed",5
2018-04-18,Coverfox,Consumer Internet,Mumbai,"International Finance Corporation, Transamerica And Others",Private,220
2018-04-19,Fyle Technologies,Tech,Bangalore,Pravega Ventures And Beenext,"Angel, Seed",11
2018-04-19,True Balance,Tech,Gurgaon,"Line Ventures Corporation, Line Corp, Naver, Shinhan Bank And Ts Investment",Private,230
2018-04-22,Doxper,Health Care,Mumbai,Vidal Healthcare,"Angel, Seed",19
2018-04-22,Nykaa,Consumer Internet,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak And Others",Private,110
2018-04-23,Capital Float,Finance,Bangalore,Amazon,Private,220
2018-04-25,Trip Shelf,Consumer Internet,Delhi,"Gems Advisory, Alok Mittal And Sachin Bhatia","Angel, Seed",2
2018-04-26,Popxo,Tech,Delhi,"Neoplux, Oppo, Idg Ventures India, Kalaari Capital, Gree Ventures And Summit Media",Private,55
2018-04-27,1Mg,Consumer Internet,Gurgaon,"Sequoia Capital, Maverick Capital Ltd And Hbm Healthcare Investments Ltd",Private,100
2018-04-30,Samco,Consumer Internet,Mumbai,Bay Capital Investments And Others,Private,75
2018-04-30,Myloancare,Finance,Gurgaon,Sar Group,"Angel, Seed",10
2018-03-01,Buddy4Studdy,Consumer Internet,Noida,Cba Capital And Others,Private,30
2018-03-01,Urban Ladder,Ecommerce,Bangalore,"Sequoia Capital, Saif Partners And Kalaari Capital",Private,120
2018-03-03,Kuvera,Consumer Internet,Bangalore,"Baskar Subramanian, Saket Kumar, Gaurav Suri And Ankit Kesarwani","Angel, Seed",2
2018-03-04,Gramophone,Tech,Indore,Infoedge,"Angel, Seed",10
2018-03-05,Wellthy,Health Care,Mumbai,"Ranjan Pai, Apoorva Patni, Beenext Ventures,Growx Ventures",Private,21
2018-03-05,Medgenome,Health Care,Bangalore,"Hdfc Life, Hdfc Asset Management",Private,100
2018-03-05,Finova Capital,Consumer Internet,Jaipur,Sequoia Capital,Private,60
2018-03-05,Hotelogix,Tech,Noida,"Vertex Ventures, Accel Partners And Saama Capital",Private,50
2018-03-04,Livehealth,Consumer Internet,Pune,Nexus Venture Partners,"Angel, Seed",11
2018-03-06,Ad2Pro,Tech,Chennai,Avendus Finance Pvt Ltd,Debt,97
2018-03-06,Coverfox,Consumer Internet,Mumbai,Aegon Nv,Private,76
2018-03-08,Pepperfry,Consumer Internet,Mumbai,State Street Global Advisors,Private,384
2018-03-08,Magicpin,Consumer Internet,Gurgaon,Trifecta Capital,Debt,10
2018-03-12,Healthcare,Consumer Internet,Mumbai,Hr Fund,"Angel, Seed",10
2018-03-13,Pine Labs,Tech,Mumbai,"Actis, Altimeter Capital",Private,820
2018-03-14,Avail Finance,Consumer Internet,Bangalore,"Matrix Partners, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Kunal Shah And Manish Patel",Private,172
2018-03-15,Grofers,Consumer Internet,Gurgaon,"Softbank, Tiger Global And Apoletto Managers",Private,620
2018-03-19,Fingerlix,Consumer Internet,Mumbai,Alteria Capital,Debt,13
2018-03-19,Karma Healthcare,Health Care,Udaipur,"1Crowd, Ankur Capital","Angel, Seed",5
2018-03-19,Zappfresh,Food Beverages,Gurgaon,"Amit Burman, Sidbi Venture Capital","Angel, Seed",30
2018-03-19,Customersucessbox,Tech,Gurgaon,"Pi Ventures, Axilor Ventures","Angel, Seed",10
2018-03-22,Chargebee,Tech,Chennai,"Insight Venture Partners, Accel Partners And Tiger Global Management",Private,180
2018-03-22,I2I Funding,Consumer Internet,Noida,Sucseed Venture Partners,"Angel, Seed",8
2018-03-22,Slang Labs,Tech,Bangalore,Endiya Partners,"Angel, Seed",12
2018-03-26,Cash Suvidha,Consumer Internet,Delhi,"Initia Holdings,Vipin Agarwal And Others","Angel, Seed",10
2018-03-28,Smartcoin,Finance,Bangalore,"Accion Venture Lab, Unicorn India Ventures And Isme Ace","Angel, Seed",20
2018-03-27,The Print,Media,Delhi,Ratan Tata,"Angel, Seed",5
2018-03-27,Driveu,Tech,Bangalore,Amit Singhal And Unitus Seed Fund,Private,30
2018-02-01,Big Basket,Consumer Internet,Bangalore,"Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital",Private,3000
2018-02-01,Zomato,Food Beverages,Gurgaon,Ant Financials,Private,2000
2018-02-05,Pratilipi,Publishing,Bangalore,Omidyar Network,Private,43
2018-02-05,Asia Institute Of Medical Science,Health Care,Faridabad,Cdc Group Plc,Private,210
2018-02-05,Collegedekho,Consumer Internet,Gurgaon,"Man Capital Llp, Girnar Software, Others",Private,20
2018-02-06,Healthi,Health Care,Bangalore,Montane Ventures,Private,31
2018-02-07,Swiggy,Food Beverages,Bangalore,Naspers,Private,1000
2018-02-08,Shape,Health Care,Pune,Sandeep Mathur,"Angel, Seed",1000
2018-02-08,Icertis,Consumer Internet,Pune,Meritech Capital Partners,Private,500
2018-02-09,Healthifyme,Health Care,Bangalore,Sistema Asia Fund,Private,120
2018-02-09,Rupeek,Consumer Internet,Bangalore,"Accel Partners, Sequoia Capital",Private,68
2018-02-12,Lending Kart,Finance,Bangalore,Fullerton Financial Holdings Pte Ltd  Others,Private,870
2018-02-12,Cashify,Ecommerce,Gurgaon,Trifecta Capital,Debt,9
2018-02-13,Holachef,Food Beverages,Mumbai,Ashok Kumar Gajera,"Angel, Seed",3
2018-02-13,Imax Program,Edtech,Bangalore,"Michael  Susan Dell Foundation, Lgt Impact Ventures",Private,135
2018-02-14,Littlemore,Edtech,Chennai,Kalpavriksh,Private,30
2018-02-14,Toppr,Edtech,Mumbai,Axis Capital Partners,Private,1
2018-02-14,Shirsa Labs,Edtech,Mumbai,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal",Private,5
2018-02-14,Moneyonmobile,Tech,Mumbai,S7 Group,Private,50
2018-02-15,Petsutra,Consumer Internet,Gurgaon,Michael Patrick Hickey,"Angel, Seed",1
2018-02-15,Infibeam,Ecommerce,Ahmedabad,Network 18,Private,62
2018-02-16,Happay,Finance,Bangalore,Sequoia And Jerry Yang,"Angel, Seed",2
2018-02-16,Fincash,Finance,Mumbai,"Mohammed Khan, Sameer Narayan  Others","Angel, Seed",2
2018-02-19,Aye Finance,Finance,Gurgaon,"Hinduja Leyland Finance, Intellegrow",Private,38
2018-02-20,Agricxlab,Agriculture,Mumbai,Ankur Capital,"Angel, Seed",5
2018-02-21,Udaan,Ecommerce,Bangalore,Lightspeed  Yuri Milner,Private,500
2018-02-21,Capillary,It,Bangalore,"Wargburg Pincus, Sequoia",Private,200
2018-02-21,The Healthy Billions,Health Care,Gurgaon,"Blume Ventures, Healthquad And Fireside Ventures",Private,21
2018-02-26,Avishkaar Box,Edtech,Delhi,Auxano Deals,Private,8
2018-02-26,Planys Technologies,Tech,Chennai,"Kris Gopalakrishnan, Pratithi Investment Trust, Memg Family Office, S Gopal",Private,10
2018-02-27,Trilyo,Tech,Mumbai,"Startup Buddy,Amit Manocha And Others","Angel, Seed",2
2018-02-28,Gaana,Tech,Gurgaon,"Tencent Holdings Ltd, Times Internet",Private,1150
2018-02-28,Credy,It,Bangalore,"Y Combinator, Khosla Ventures, Vy Capital And Others","Angel, Seed",14
2018-01-04,Early Salary,Finance,Pune,Eight Roads Ventures India,Private,157
2018-01-09,Lending Kart,Finance,Ahmedabad,Nederlandse Financierings-Maatschappij Voor Ontwikkelingslanden Nv,Debt,47
2018-01-10,Tapzo,Tech,Bangalore,Runet  Other,Private,19
2018-01-10,Appario Retail Pvt Ltd,Ecommerce,Delhi,Amazon-Patni Jv,Private,188
2018-01-10,Samunnati Finance,Finance,Chennai,"Responsability, Elevar Equity And Accel Partners",Private,235
2018-01-10,Sahajanand Medical Technologies,Tech,Surat,Morgan Stanley Private Equity Asia,Private,362
2018-01-12,Kuants,Tech,Gurgaon,"Pankaj Chopra, Ankush Gupta","Angel, Seed",1
2018-01-12,Razorpay,Tech,Bangalore,"Tiger Global, Y Combinator",Private,200
2018-01-15,Streak,Tech,Bangalore,"Indian Fintech Fund, Rainmatter","Angel, Seed",4
2018-01-15,Pi Ventures,Finance,Bangalore,"Sunil Kant Munjal, Hero Electronixs Corporate Financing Arm, Electronic Development Fund",Private,250
2018-01-15,Newgen Software,Tech,New-Delhi,"Goldman Sachs, Hedge Fund  Others",Private,200
2018-01-17,Rubix,Tech,Pune,Polaris Fund,Private,10
2018-01-18,Sharechat,Tech,Bangalore,"Xiaomi Singapore, Shunwei Capital",Private,182
2018-01-22,Paperflite,Tech,Chennai,The Chennai Angels,"Angel, Seed",4
2018-01-22,Hungerbox,Consumer Internet,Bangalore,Lionrock Capital,Private,25
2018-01-22,Optacredit,Finance,Chennai,Dmi Finance,Private,40
2018-01-22,Aeon Learning,Tech,Bangalore,Dr Ranjan Pai,Private,32
2018-01-23,Milkbasket,Ecommerce,Gurgaon,Unilever Ventures,Private,30
2018-01-24,Neogrowth Credit,Finance,Mumbai,"Leapfrog Investments, Aspada Investment, Quona Capital",Private,470
2018-01-24,Rao Iit Academy,Education,Mumbai,Avendus Finance,Debt,86
2018-01-24,Aye Finance,Finance,Gurgaon,Ifmr Capital,Loan,62
2018-01-25,Greyatom,Tech,Mumbai,Pravega Ventures,Private,10
2018-01-26,Axio,Health Care,Bangalore,Rnt Capital,Private,74
2018-01-29,Ekincare,Health Care,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, Bvr Mohan Reddy",Private,15
2018-01-29,The Wedding Brigade,Consumer Internet,Mumbai,Blume Ventures,Private,10
2018-01-30,Peesafe,Health Care,Gurgaon,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private,10
2018-01-30,Browserstack,Tech,Mumbai,Accel Partners,Private,500
2018-01-30,Scapic,Tech,Bangalore,"Axilor Ventures, Newfort Capital","Angel, Seed",5
2018-01-30,Moneyonmobile,Tech,Mumbai,Undisclosed Investors,Private,76
2018-01-30,Cure Fit,Health Care,Bangalore,"Hdfc Bank, Axis Bank",Debt,100
2018-01-31,Inurture,Tech,Bangalore,Ventureast,Private,44
2017-12-05,Dunzo,Tech,Bangalore,Google,Private,123
2017-12-05,Tata Housing,Real Estate,Mumbai,Hines,Private,230
2017-12-05,Handytrain,Tech,Goa,Nb Ventures,Private,10
2017-12-05,Mobycy,Tech,Gurgaon,Undisclosed Investors,"Angel, Seed",5
2017-12-06,Greenlight Planet,Tech,Mumbai,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Private,600
2017-12-06,Fintobox,Tech,Chennai,Lightbox,Private,70
2017-12-07,Mswipe,Tech,Mumbai,Eduardo Saverin,Private,100
2017-12-07,The Label Life,Ecommerce,Mumbai,Kalpvriksh,Private,31
2017-12-07,Cygnus Hospitals,Health Care,Gurgaon,Somerset Indus Capital Ventures,"Angel, Seed",8
2017-12-07,Eshakti,Ecommerce,Chennai,Idg Ventures,Debt,23
2017-12-08,Inshorts,Tech,Noida,Tiger Global,Private,50
2017-12-11,Vahdam Teas,Ecommerce,Delhi,"Singapore Angel Network, Mumbai Angel",Private,15
2017-12-11,Logic Roots,Tech,Mumbai,Village Capital,"Angel, Seed",0
2017-12-11,Project Mudra,Tech,Bangalore,Village Capital,"Angel, Seed",0
2017-12-11,Furlenco,Tech,Bangalore,Aamir Khan,Debt,12
2017-12-12,I Can Stay,Tech,Delhi,Ht Media,Private,18
2017-12-12,Simility,Tech,Hyderabad,Accel Partners,Private,175
2017-12-12,Shopholix,Ecommerce,Gurgaon,Munesh Khanna,"Angel, Seed",2
2017-12-13,Mindtickle,Tech,Pune,Canaan Partners,Private,270
2017-12-13,Nazara Technologies,Tech,Mumbai,Rakesh Jhunjhunwala,Private,270
