Date,Startup,Industry,Locations,Investors,Type,Turnover
2016-02-15,Buddy,Finance,Bangalore,"Blume Ventures,Xc2Xa0 Tracxn Labs",Seed,5
2016-02-16,Tablehero,Consumer Internet,Bangalore,"Growx Ventures, Kunal Shah, Sandeep Tandon, Haresh Chawla, Powai Lake Ventures, Globevestor",Seed,10
2016-02-16,Betterplace,Tech,Bangalore,Unitus Seed Fund,Seed,10
2016-02-16,Icustommadeit,Ecommerce,Pune,"Brand Capital, Siddhivinayak Skyscrapers, Dinesh R Challa",Private,40
2016-02-17,Gamezop,Tech,New-Delhi,"Kwan Entertainment  Marketing Solutions, Powerhouse Ventures  Others",Seed,4
2016-02-17,The Viral Fever,Consumer Internet,Mumbai,Tiger Global,Private,100
2016-02-17,Avanti Learning,Education,New-Delhi,Michael  Susan Dell Foundation,Private,50
2016-02-18,Healthkumbh,Consumer Internet,Ahmedabad,Undisclosed Investor,Seed,1
2016-02-18,Careongo,Ecommerce,New-Delhi,Farooq Oomerbhoy  Other Angel Investors,Seed,3
2016-02-18,Ark Robot,Tech,Bangalore,Qualcomm Through Qprize Contest,Seed,4
2016-02-19,Jaypore,Ecommerce,New-Delhi,Aavishkaar,Private,50
2016-02-19,Advantage Club,Consumer Internet,Gurgaon,Purvi Ventures  Others,Seed,4
2016-02-22,Baby Berry,Consumer Internet,Bangalore,Nitin Bagmane  Other Undisclosed Investors,Seed,10
2016-02-22,Magicpin,Consumer Internet,New-Delhi,Lightspeed India,Private,30
2016-02-22,First Eat,Consumer Internet,New-Delhi,Undisclosed Investor,Seed,1
2016-02-22,Taskbob,Consumer Internet,Mumbai,"Ivycap Ventures, Orios Venture Partners, Mayfield India",Private,45
2016-02-22,Styledotme,Consumer Internet,New-Delhi,Indian Angel Network,Seed,0
2016-02-23,Cuponation,Consumer Internet,Gurgaon,"Rocket Internet Ag, Holtzbrink Ventures, New Enterprise Associates Nea, Eventures, Ru-Net, Deutsche Telekom Strategic Investments Dtsi, Silicon Valley Bank",Private,110
2016-02-24,Sayfix,Consumer Internet,Bangalore,Yajnanarayana Kammaje,Seed,2
2016-02-24,Nobroker,Consumer Internet,Bangalore,"Beenext, Digital Garage, Beenos, Qualgro, Mamoru Taniya, Saif Partners",Private,100
2016-02-24,Appilyever,Consumer Internet,Hyderabad,"Varun Aggarwal, Suresh Venkat, Raj Y",Seed,4
2016-02-24,Pocketin,Consumer Internet,Noida,Swastika Company Ltd,Seed,2
2016-02-25,Ofbusiness,Ecommerce,Gurgaon,Matrix Partners India,Private,50
2016-02-25,Juspay,Consumer Internet,Bangalore,"Accel Partners, Ashish Hemrajani, Parikshit Dar, Rajesh Balpande",Private,58
2016-02-25,Funcart,Ecommerce,New-Delhi,Undisclosed Hnis,Seed,1
2016-02-26,Freedom Smart Labs,Tech,New-Delhi,Kapil Goel,Seed,1
2016-02-26,Edubridge,Consumer Internet,Mumbai,"Insitor Impact Asia Fund, Acumen Fund",Private,25
2016-02-29,Hopscotch,Ecommerce,Mumbai,Eduardo Saverin,Private,130
2016-01-04,B9 Beverages,Food Beverages,New-Delhi,"Sequoia Capital, Kunal Bahl, Rohit Bansal, Deepinder Goyal, Ashish Dhawan, Mayank Singhal",Private,60
2016-01-05,Mychild App,Education,Bhopal,"Samir Bangara, Anisha Mittal, Amit Gupta, Pallav Nadhani, Lalit Mangal, Arihant Patni, Dr Ritesh Malik, Deobrat Singh, Saurab Paruthi, Singapore Angel Network",Seed,1
2016-01-05,360Ride,Consumer Internet,Bangalore,Undisclosed,Seed,2
2016-01-05,Alefnmobitech,Consumer Internet,Mumbai,Tata Capital Innovation Fund,Private,50
2016-01-06,Sensara,Tech,Bangalore,"Lalitesh Katragadda,Xc2Xa0 Ganayantrika Systems",Seed,8
2016-01-06,Zebpay,Consumer Internet,Ahmedabad,"Arjun Handa, Amit Jindal, Nagendra Chaudhary",Private,10
2016-01-06,Planmynmedicaltrip,Health Care,Pune,"Bhanu Vikram Parsotam, Rohan Desai And Paras Patel",Seed,2
2016-01-06,Mycity4Kids,Education,Gurgaon,"Sidbi Venture Capital Limited, Yournest Angel Fund",Private,30
2016-01-06,Justdakhilacom,Education,New-Delhi,Ankur Gupta,Seed,8
2016-01-07,Infurnia,Consumer Internet,Bangalore,Idein Ventures,Seed,2
2016-01-07,Myly,Education,Jaipur,Newbie Promoter Pvt Ltd,Seed,1
2016-01-07,Makemytrip,Consumer Internet,Gurgaon,Ctripcom International Ltd,Private,1800
2016-01-08,Melorra,Ecommerce,Bangalore,Lightbox Ventures,Private,50
2016-01-08,Confirmtkt,Consumer Internet,Bangalore,"Krishna Jhujhunwala, Dr Apoorv Ranjan Sharma, Anirudh Damani, Anand Ladsariya, Sanjay Mehta  Others",Seed,2
2016-01-08,Gyaanzone,Education,Mumbai,Gbim Technologies Pvt Ltd,Seed,0
2016-01-11,Koovs,Ecommerce,Gurgaon,"Nahata Family, Waheed Alli",Private,54
2016-01-11,Freshmenu,Consumer Internet,Bangalore,"Zodius Capital, Lightspeed Venture Partners",Private,165
2016-01-11,Savvymob,Ecommerce,Bangalore,"Tv Mohandas Pai, Letsventure",Seed,10
2016-01-12,Shopclues,Ecommerce,Gurgaon,"Gic, Tiger Global Management, Nexus Venture Partners",Private,1000
2016-01-12,Ibus Networks,Tech,Bangalore,"Vallabh Bhanshali, N Squared Management Llc, Jagdish  Sandeep Mehta Family Office",Private,23
2016-01-12,Happy2Refer,Consumer Internet,Mumbai,"Equity Crest, Vinners, Sparknext",Seed,2
2016-01-13,Cartrade,Consumer Internet,Mumbai,"Temasek Holdings, March Capital, Warburg Pincus",Private,1450
2016-01-13,Rentomojo,Consumer Internet,Bangalore,Shiva Ashok  Other Unnamed Investors,Seed,1
2016-01-13,Roder,Consumer Internet,New-Delhi,Unicorn India Ventures,Seed,2
2016-01-13,Care24,Health Care,Mumbai,"Saif Partners, India Quotient",Private,40
2016-01-14,Orahi,Consumer Internet,Gurgaon,Indian Angel Network,Seed,5
2016-01-15,Fitso,Consumer Internet,Gurgaon,"Varun Khurana, Samar Singla, Vinay Bansal,",Seed,2
2016-01-18,Kartrocket,Consumer Internet,New-Delhi,"Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding, 500 Startups",Private,60
2016-01-19,Swiggy,Consumer Internet,Bangalore,"Harmony Partners, Rb Investments  Existing Investors",Private,350
